symptoms,disease
"fever cough sore throat body ache fatigue","Viral Fever"
"high fever chills sweating headache muscle pain","Malaria"
"fever abdominal pain diarrhea vomiting dehydration","Gastroenteritis"
"burning urination lower abdominal pain frequent urination fever","Urinary Tract Infection"
"thirst frequent urination fatigue blurred vision weight loss","Diabetes Mellitus"
"excessive thirst increased appetite frequent urination slow wound healing","Diabetes Mellitus"
"chest pain breathlessness sweating radiating left arm pain","Acute Coronary Syndrome"
"shortness of breath wheezing cough chest tightness","Bronchial Asthma"
"headache facial pain nasal congestion thick discharge fever","Sinusitis"
"joint pain morning stiffness swelling fatigue","Rheumatoid Arthritis"
"weight gain cold intolerance constipation dry skin fatigue","Hypothyroidism"
"weight loss heat intolerance palpitations tremor sweating","Hyperthyroidism"
"persistent cough fever night sweats weight loss blood sputum","Tuberculosis"
"yellow eyes dark urine abdominal pain nausea fatigue","Hepatitis"
"severe headache vomiting neck stiffness fever confusion","Meningitis"
"cough breathlessness fever chest pain sputum","Pneumonia"
"epigastric pain acidity bloating nausea after meals","Gastritis"
"high blood pressure headache dizziness blurred vision","Hypertension"
"fatigue pallor breathlessness dizziness weakness","Anemia"
"sneezing runny nose itchy eyes nasal congestion","Allergic Rhinitis"
"low grade fever rash joint pain conjunctivitis","Viral Fever"
"polyuria polydipsia fatigue tingling feet obesity","Diabetes Mellitus"
"vomiting loose stools abdominal cramps fever","Gastroenteritis"
"wheeze night cough exercise induced breathlessness","Bronchial Asthma"
"burning micturition urgency cloudy urine pelvic pain","Urinary Tract Infection"
"fever productive cough pleuritic chest pain breathlessness","Pneumonia"
"palpitations anxiety weight loss tremor loose stools","Hyperthyroidism"
"constipation lethargy weight gain hoarse voice dry skin","Hypothyroidism"
"knee pain swelling stiffness worse morning fatigue","Rheumatoid Arthritis"
"acid reflux chest burning sour belching nausea","Gastritis"
